IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.17.113.8,4,4,0.00,191.27,0.00,N/A
172.65.200.203,4,4,0.00,191.35,0.00,N/A
104.17.93.63,4,4,0.00,191.38,0.00,N/A
104.18.211.29,4,4,0.00,191.50,0.00,N/A
104.17.50.105,4,4,0.00,191.54,0.00,N/A
104.21.227.48,4,4,0.00,191.55,0.00,N/A
172.66.1.30,4,4,0.00,191.62,0.00,N/A
104.17.46.195,4,4,0.00,191.67,0.00,N/A
104.19.33.136,4,4,0.00,191.68,0.00,N/A
198.41.214.25,4,4,0.00,191.72,0.00,N/A
104.21.226.16,4,4,0.00,191.90,0.00,N/A
104.17.153.12,4,4,0.00,191.90,0.00,N/A
104.18.152.156,4,4,0.00,192.13,0.00,N/A
104.17.57.158,4,4,0.00,192.22,0.00,N/A
104.19.150.14,4,4,0.00,192.22,0.00,N/A
104.16.22.48,4,4,0.00,192.24,0.00,N/A
104.18.185.35,4,4,0.00,192.34,0.00,N/A
104.18.123.163,4,4,0.00,192.39,0.00,N/A
172.64.152.44,4,4,0.00,192.43,0.00,N/A
104.18.138.214,4,4,0.00,192.49,0.00,N/A
104.18.166.208,4,4,0.00,192.72,0.00,N/A
104.16.168.2,4,4,0.00,192.81,0.00,N/A
104.17.106.161,4,4,0.00,192.86,0.00,N/A
104.17.25.175,4,4,0.00,192.93,0.00,N/A
104.19.170.181,4,4,0.00,193.07,0.00,N/A
104.16.215.72,4,4,0.00,193.08,0.00,N/A
104.17.35.157,4,4,0.00,193.16,0.00,N/A
198.41.208.190,4,4,0.00,193.38,0.00,N/A
104.18.97.14,4,4,0.00,193.44,0.00,N/A
104.21.239.73,4,4,0.00,193.50,0.00,N/A
104.17.74.245,4,4,0.00,193.51,0.00,N/A
104.19.80.90,4,4,0.00,193.62,0.00,N/A
104.16.32.171,4,4,0.00,193.66,0.00,N/A
104.18.177.68,4,4,0.00,193.72,0.00,N/A
104.18.142.2,4,4,0.00,193.73,0.00,N/A
104.17.88.13,4,4,0.00,193.74,0.00,N/A
108.162.193.84,4,4,0.00,193.83,0.00,N/A
108.162.196.75,4,4,0.00,193.86,0.00,N/A
104.16.229.238,4,4,0.00,193.86,0.00,N/A
104.17.34.74,4,4,0.00,193.91,0.00,N/A
104.18.150.224,4,4,0.00,193.98,0.00,N/A
104.21.225.133,4,4,0.00,194.11,0.00,N/A
104.18.181.221,4,4,0.00,194.12,0.00,N/A
104.17.156.16,4,4,0.00,194.18,0.00,N/A
108.162.194.165,4,4,0.00,194.19,0.00,N/A
104.19.169.18,4,4,0.00,194.21,0.00,N/A
104.17.91.73,4,4,0.00,194.37,0.00,N/A
104.17.23.8,4,4,0.00,194.38,0.00,N/A
104.17.3.136,4,4,0.00,194.42,0.00,N/A
104.19.78.62,4,4,0.00,194.42,0.00,N/A
104.16.231.130,4,4,0.00,194.58,0.00,N/A
198.41.219.80,4,4,0.00,194.59,0.00,N/A
104.17.154.111,4,4,0.00,194.63,0.00,N/A
104.18.204.111,4,4,0.00,194.72,0.00,N/A
104.19.190.41,4,4,0.00,194.76,0.00,N/A
104.18.178.206,4,4,0.00,194.81,0.00,N/A
172.65.223.96,4,4,0.00,194.85,0.00,N/A
104.16.190.92,4,4,0.00,194.96,0.00,N/A
104.17.75.176,4,4,0.00,194.99,0.00,N/A
198.41.195.222,4,4,0.00,195.08,0.00,N/A
104.19.160.8,4,4,0.00,195.11,0.00,N/A
104.19.252.72,4,4,0.00,195.29,0.00,N/A
104.19.29.72,4,4,0.00,195.38,0.00,N/A
172.64.151.28,4,4,0.00,195.40,0.00,N/A
104.17.89.201,4,4,0.00,195.49,0.00,N/A
104.19.158.67,4,4,0.00,195.56,0.00,N/A
172.64.149.118,4,4,0.00,195.57,0.00,N/A
104.18.250.0,4,4,0.00,195.62,0.00,N/A
172.65.244.125,4,4,0.00,195.76,0.00,N/A
104.21.236.26,4,4,0.00,195.81,0.00,N/A
104.16.119.32,4,4,0.00,195.89,0.00,N/A
198.41.194.107,4,4,0.00,195.98,0.00,N/A
104.17.112.109,4,4,0.00,195.99,0.00,N/A
104.19.182.48,4,4,0.00,196.22,0.00,N/A
198.41.201.140,4,4,0.00,196.32,0.00,N/A
104.17.115.128,4,4,0.00,196.45,0.00,N/A
104.19.164.76,4,4,0.00,196.65,0.00,N/A
104.18.180.139,4,4,0.00,196.67,0.00,N/A
104.16.107.62,4,4,0.00,196.70,0.00,N/A
198.41.215.230,4,4,0.00,196.73,0.00,N/A
104.17.189.42,4,4,0.00,196.94,0.00,N/A
104.18.208.50,4,4,0.00,197.08,0.00,N/A
108.162.192.225,4,4,0.00,197.11,0.00,N/A
104.16.120.48,4,4,0.00,197.18,0.00,N/A
104.18.167.123,4,4,0.00,197.23,0.00,N/A
104.18.164.3,4,4,0.00,197.46,0.00,N/A
198.41.216.161,4,4,0.00,197.47,0.00,N/A
104.19.72.147,4,4,0.00,197.52,0.00,N/A
104.19.152.0,4,4,0.00,197.54,0.00,N/A
172.65.198.155,4,4,0.00,197.56,0.00,N/A
104.19.66.223,4,4,0.00,197.57,0.00,N/A
104.17.176.181,4,4,0.00,197.86,0.00,N/A
172.67.236.204,4,4,0.00,197.88,0.00,N/A
172.65.196.124,4,4,0.00,197.98,0.00,N/A
104.16.178.244,4,4,0.00,198.00,0.00,N/A
104.21.231.135,4,4,0.00,198.07,0.00,N/A
104.19.94.77,4,4,0.00,198.11,0.00,N/A
104.19.112.186,4,4,0.00,198.13,0.00,N/A
104.18.194.243,4,4,0.00,198.15,0.00,N/A
172.65.213.72,4,4,0.00,198.24,0.00,N/A
104.17.39.148,4,4,0.00,198.36,0.00,N/A
104.19.166.154,4,4,0.00,198.45,0.00,N/A
162.159.134.222,4,4,0.00,198.59,0.00,N/A
104.16.159.213,4,4,0.00,198.79,0.00,N/A
172.65.237.10,4,4,0.00,198.80,0.00,N/A
104.18.140.222,4,4,0.00,198.82,0.00,N/A
104.19.145.249,4,4,0.00,198.83,0.00,N/A
104.16.210.59,4,4,0.00,198.91,0.00,N/A
198.41.197.53,4,4,0.00,199.08,0.00,N/A
172.65.252.169,4,4,0.00,199.10,0.00,N/A
104.17.18.62,4,4,0.00,199.31,0.00,N/A
104.18.137.5,4,4,0.00,199.32,0.00,N/A
198.41.206.201,4,4,0.00,199.33,0.00,N/A
172.64.155.195,4,4,0.00,199.35,0.00,N/A
104.18.196.18,4,4,0.00,199.43,0.00,N/A
104.18.148.162,4,4,0.00,199.48,0.00,N/A
172.64.154.153,4,4,0.00,199.48,0.00,N/A
104.18.132.104,4,4,0.00,199.56,0.00,N/A
173.245.59.244,4,4,0.00,199.69,0.00,N/A
104.17.117.81,4,4,0.00,199.70,0.00,N/A
104.16.172.75,4,4,0.00,199.80,0.00,N/A
104.18.248.187,4,4,0.00,199.81,0.00,N/A
198.41.202.192,4,4,0.00,199.83,0.00,N/A
172.65.214.216,4,4,0.00,199.84,0.00,N/A
198.41.203.24,4,4,0.00,199.88,0.00,N/A
104.16.18.80,4,4,0.00,200.03,0.00,N/A
104.17.152.56,4,4,0.00,200.12,0.00,N/A
104.17.24.188,4,4,0.00,200.23,0.00,N/A
104.18.125.99,4,4,0.00,200.25,0.00,N/A
104.18.161.61,4,4,0.00,200.26,0.00,N/A
104.17.166.174,4,4,0.00,200.37,0.00,N/A
104.19.171.159,4,4,0.00,200.40,0.00,N/A
104.19.59.195,4,4,0.00,200.51,0.00,N/A
104.18.188.71,4,4,0.00,200.55,0.00,N/A
104.17.51.91,4,4,0.00,200.59,0.00,N/A
172.65.247.134,4,4,0.00,200.69,0.00,N/A
104.16.251.126,4,4,0.00,200.79,0.00,N/A
104.18.192.11,4,4,0.00,200.80,0.00,N/A
104.17.107.153,4,4,0.00,200.80,0.00,N/A
104.17.76.116,4,4,0.00,200.95,0.00,N/A
162.159.93.125,4,4,0.00,201.15,0.00,N/A
172.65.212.37,4,4,0.00,201.31,0.00,N/A
104.18.156.29,4,4,0.00,201.38,0.00,N/A
104.19.249.29,4,4,0.00,201.49,0.00,N/A
172.64.153.95,4,4,0.00,201.61,0.00,N/A
104.17.73.177,4,4,0.00,201.69,0.00,N/A
104.17.43.31,4,4,0.00,201.78,0.00,N/A
104.16.214.215,4,4,0.00,201.81,0.00,N/A
104.18.202.183,4,4,0.00,201.81,0.00,N/A
104.16.218.217,4,4,0.00,201.94,0.00,N/A
104.16.71.143,4,4,0.00,201.99,0.00,N/A
104.17.8.12,4,4,0.00,202.01,0.00,N/A
104.16.255.205,4,4,0.00,202.20,0.00,N/A
104.17.149.192,4,4,0.00,202.42,0.00,N/A
104.17.127.17,4,4,0.00,202.42,0.00,N/A
104.17.168.25,4,4,0.00,202.49,0.00,N/A
104.19.31.191,4,4,0.00,202.53,0.00,N/A
104.17.101.41,4,4,0.00,202.55,0.00,N/A
104.16.175.186,4,4,0.00,202.71,0.00,N/A
104.19.247.126,4,4,0.00,202.76,0.00,N/A
104.19.250.170,4,4,0.00,202.77,0.00,N/A
104.17.142.91,4,4,0.00,202.90,0.00,N/A
172.65.251.57,4,4,0.00,203.15,0.00,N/A
172.66.2.141,4,4,0.00,203.17,0.00,N/A
104.19.157.33,4,4,0.00,203.22,0.00,N/A
104.19.119.101,4,4,0.00,203.28,0.00,N/A
172.64.158.243,4,4,0.00,203.45,0.00,N/A
104.18.124.203,4,4,0.00,203.47,0.00,N/A
104.18.25.232,4,4,0.00,203.48,0.00,N/A
104.19.248.102,4,4,0.00,203.53,0.00,N/A
172.65.226.18,4,4,0.00,203.74,0.00,N/A
104.19.245.140,4,4,0.00,203.77,0.00,N/A
104.17.110.11,4,4,0.00,203.79,0.00,N/A
104.18.243.49,4,4,0.00,203.80,0.00,N/A
104.19.246.102,4,4,0.00,203.84,0.00,N/A
104.19.22.207,4,4,0.00,203.96,0.00,N/A
172.65.224.101,4,4,0.00,203.98,0.00,N/A
172.65.231.52,4,4,0.00,204.19,0.00,N/A
104.17.21.164,4,4,0.00,204.27,0.00,N/A
104.18.154.43,4,4,0.00,204.27,0.00,N/A
172.67.254.12,4,4,0.00,204.31,0.00,N/A
104.18.151.1,4,4,0.00,204.42,0.00,N/A
104.16.177.181,4,4,0.00,204.44,0.00,N/A
104.17.140.128,4,4,0.00,204.48,0.00,N/A
104.16.74.172,4,4,0.00,204.48,0.00,N/A
104.19.161.93,4,4,0.00,204.53,0.00,N/A
162.159.138.208,4,4,0.00,204.75,0.00,N/A
104.25.108.182,4,4,0.00,204.77,0.00,N/A
104.17.71.49,4,4,0.00,204.78,0.00,N/A
104.16.17.137,4,4,0.00,204.88,0.00,N/A
104.24.13.179,4,4,0.00,204.93,0.00,N/A
172.65.241.136,4,4,0.00,204.93,0.00,N/A
104.16.108.47,4,4,0.00,204.97,0.00,N/A
104.19.183.94,4,4,0.00,205.00,0.00,N/A
104.25.107.188,4,4,0.00,205.02,0.00,N/A
104.18.242.4,4,4,0.00,205.03,0.00,N/A
104.16.79.86,4,4,0.00,205.09,0.00,N/A
104.18.200.83,4,4,0.00,205.13,0.00,N/A
104.19.241.101,4,4,0.00,205.15,0.00,N/A
162.159.249.210,4,4,0.00,205.46,0.00,N/A
104.18.207.189,4,4,0.00,205.46,0.00,N/A
104.17.47.148,4,4,0.00,205.56,0.00,N/A
104.26.5.107,4,4,0.00,205.61,0.00,N/A
104.17.175.135,4,4,0.00,205.64,0.00,N/A
104.16.184.140,4,4,0.00,205.68,0.00,N/A
172.65.222.179,4,4,0.00,205.80,0.00,N/A
104.17.109.128,4,4,0.00,205.80,0.00,N/A
104.18.27.28,4,4,0.00,205.82,0.00,N/A
104.18.17.83,4,4,0.00,205.82,0.00,N/A
104.19.176.139,4,4,0.00,205.83,0.00,N/A
104.16.137.140,4,4,0.00,205.84,0.00,N/A
104.16.179.154,4,4,0.00,205.93,0.00,N/A
104.17.83.87,4,4,0.00,206.09,0.00,N/A
104.17.180.18,4,4,0.00,206.09,0.00,N/A
104.18.203.39,4,4,0.00,206.12,0.00,N/A
172.65.219.46,4,4,0.00,206.17,0.00,N/A
104.16.76.207,4,4,0.00,206.19,0.00,N/A
104.16.6.240,4,4,0.00,206.29,0.00,N/A
104.16.223.86,4,4,0.00,206.30,0.00,N/A
104.17.26.126,4,4,0.00,206.30,0.00,N/A
104.16.78.102,4,4,0.00,206.33,0.00,N/A
104.17.131.113,4,4,0.00,206.38,0.00,N/A
104.17.137.254,4,4,0.00,206.45,0.00,N/A
104.19.30.139,4,4,0.00,206.50,0.00,N/A
104.16.0.190,4,4,0.00,206.54,0.00,N/A
104.19.240.172,4,4,0.00,206.59,0.00,N/A
104.18.16.1,4,4,0.00,206.69,0.00,N/A
162.159.244.31,4,4,0.00,206.76,0.00,N/A
104.19.242.46,4,4,0.00,206.81,0.00,N/A
172.64.150.158,4,4,0.00,206.86,0.00,N/A
104.18.18.242,4,4,0.00,206.87,0.00,N/A
104.19.55.231,4,4,0.00,206.98,0.00,N/A
104.17.108.78,4,4,0.00,207.00,0.00,N/A
104.16.110.248,4,4,0.00,207.09,0.00,N/A
104.19.82.93,4,4,0.00,207.13,0.00,N/A
104.18.218.251,4,4,0.00,207.14,0.00,N/A
104.16.185.24,4,4,0.00,207.17,0.00,N/A
172.65.176.46,4,4,0.00,207.25,0.00,N/A
104.16.118.231,4,4,0.00,207.31,0.00,N/A
104.25.102.193,4,4,0.00,207.32,0.00,N/A
104.18.245.137,4,4,0.00,207.32,0.00,N/A
104.17.114.178,4,4,0.00,207.47,0.00,N/A
104.25.249.104,4,4,0.00,207.54,0.00,N/A
104.18.212.157,4,4,0.00,207.62,0.00,N/A
104.19.77.67,4,4,0.00,207.79,0.00,N/A
